#{"t_start": 1780426186.3061235, "env_id": "None"}
r,l,t
-115.467603,23,4966.397357
-51.635368,1,4969.446462
467.441941,155,4989.404603
-89.267803,250,5016.955568
-110.317142,212,5040.337347
-50.368622,1,5043.357417
-54.085419,1,5046.349517
-145.480966,35,5053.127187
211.494906,215,5079.734487
143.635002,143,5098.456281
105.495548,122,5114.773578
-43.812364,18,5119.694914
-27.218853,17,5124.482394
386.92487,221,5151.697432
-49.942562,1,5154.743376
-52.777508,1,5157.792463
-53.802711,1,5160.842195
-363.20827,122,5177.211328
-54.252045,1,5180.226048
-32.927127,114,5195.690029
-51.793381,1,5198.733566
-52.938126,1,5201.778998
-52.81599,1,5204.791822
-51.769581,1,5207.809015
-54.007271,1,5210.819894
-53.63644,1,5213.870838
-101.012259,161,5234.51306
-54.18512,1,5237.533875
-41.380827,56,5246.556808
-137.341295,26,5252.334051
30.660968,187,5275.843215
-95.683547,24,5281.392499
-49.715164,1,5284.404814
-50.419792,1,5287.457199
202.038666,18,5292.356462
27.667101,85,5301.80209
-50.080921,1,5304.830685
-52.695053,1,5307.873979
-47.451225,1,5310.907749
-51.818783,1,5313.927474
-52.783112,1,5316.925694
-52.682636,1,5319.963522
-53.751377,1,5322.984833
-52.707237,1,5326.008311
-34.030308,250,5356.417192
-67.925825,28,5359.58687
-49.826698,1,5362.636438
-53.057949,1,5365.655357
-52.3955,1,5368.676414
-51.407688,1,5371.714509
-54.139038,1,5374.740215
-53.923908,1,5377.774284
-53.862293,1,5380.816111
-52.800468,1,5383.851658
-51.467377,1,5386.890981
-52.511383,1,5389.928653
-51.066479,1,5392.936994
-53.698448,1,5395.962371
-53.114994,1,5398.974565
131.936751,250,5429.412055
-50.48659,13,5430.914015
-52.802873,2,5434.058178
-50.831356,1,5437.084999
121.441118,203,5462.333884
-522.747885,175,5484.562837
-50.867588,1,5487.580406
-101.209445,16,5492.240726
-17.215445,105,5506.676904
-53.429287,1,5509.716045
-49.901134,1,5512.740992
119.876055,238,5541.873801
-52.347717,1,5544.914205
139.142128,250,5575.352986
44.033714,52,5581.157585
-54.697365,1,5584.212249
-27.232992,31,5590.554765
220.773006,20,5595.690264
-200.57219,222,5620.191576
-50.916466,1,5623.201746
-275.416395,191,5647.271215
-52.432373,1,5650.299929
127.294426,146,5669.290186
174.546569,44,5677.08946
-52.2688,46,5682.208696
150.201933,228,5710.280552
-53.882111,1,5713.29249
-54.000259,1,5716.317809
15.76012,44,5724.094741
-138.790518,42,5731.640852
-94.263282,30,5737.892159
-49.706909,1,5740.929668
-53.051563,1,5743.96111
-116.859393,15,5748.557783
-52.055401,1,5751.585926
-52.405609,1,5754.622817
-50.729988,1,5757.661948
-50.136219,1,5760.69242
286.693778,36,5767.580146
-294.498432,250,5795.165187
-153.404732,35,5799.101168
-53.952343,1,5802.124454
-54.14032,1,5805.149459
368.115448,187,5828.631212
-50.040653,1,5831.667506
254.047738,69,5842.185745
-26.212992,75,5850.558254
-53.310333,1,5853.613109
-54.143581,1,5856.62464
-51.829594,1,5859.647516
-10.069613,82,5871.640077
-53.715588,1,5874.690459
-53.780476,1,5877.747794
-54.345402,1,5880.776957
-51.956085,1,5883.814229
-49.764355,1,5886.857179
-50.353237,1,5889.867975
-52.246094,1,5892.877547
-98.847887,12,5897.139552
31.541124,60,5906.728709
-574.068761,129,5923.800195
-53.184296,1,5926.813116
-127.541044,34,5933.505594
-51.148209,1,5936.514087
-52.510078,1,5939.522301
-10.505384,66,5949.672795
-52.408459,1,5952.703892
-50.38583,1,5955.731099
-53.160095,1,5958.782168
-53.516113,1,5961.840782
-53.587643,1,5964.89728
-64.629164,6,5968.489607
-53.834312,1,5971.535524
-100.066049,21,5976.751202
-96.601077,23,5982.18961
-49.462219,1,5985.232375
-419.575455,250,6015.784079
-63.248118,81,6024.753407
-53.858051,1,6027.816233
422.66969,237,6056.849646
-59.393323,8,6057.779477
-50.805115,1,6060.81418
-52.797707,1,6063.845222
47.09559,202,6088.974045
-159.482247,26,6094.783777
-51.643276,1,6097.809811
-52.193458,5,6101.269431
-44.948525,19,6106.293881
-52.771408,1,6109.309306
