#{"t_start": 1780009368.3415194, "env_id": "None"}
r,l,t
-113.276686,134,5007.10759
-138.321631,172,5027.677905
-193.294798,231,5054.680285
-148.820049,57,5062.505801
-143.769112,20,5066.254419
-103.493025,1,5067.913694
-169.041245,28,5072.537427
-145.042412,20,5076.307646
-203.385681,19,5079.956609
-142.605817,200,5103.568368
-108.778787,55,5109.674918
-263.611693,32,5114.764231
-103.436814,1,5116.420163
-130.152036,24,5120.608342
-102.90213,14,5123.690892
-103.464822,1,5125.361442
-147.384015,15,5128.572422
-257.496707,89,5139.926816
-102.77598,1,5141.581473
-244.927195,39,5147.406142
-124.317843,36,5152.938667
-173.541048,45,5159.456796
-107.23142,2,5161.217806
-73.215216,126,5176.638571
-102.010589,1,5178.301306
-158.672164,51,5185.479087
-174.044876,32,5190.557447
-110.468285,11,5193.303852
-206.908973,21,5197.175843
-306.235951,181,5218.640022
-214.417062,127,5234.212145
